BSymbolId,Symbol
100100001,XAUUSD.std
100100002,XAGUSD.std
100100003,EURUSD.std
100100004,GBPUSD.std
100100005,AUDUSD.std
100100006,NZDUSD.std
100100007,USDCAD.std
100100008,USDCHF.std
100100009,USDJPY.std
100100010,AUDCAD.std
100100011,AUDCHF.std
100100012,AUDJPY.std
100100013,AUDNZD.std
100100014,CADCHF.std
100100015,CADJPY.std
100100016,CHFJPY.std
100100017,EURAUD.std
100100018,EURCAD.std
100100019,EURCHF.std
100100020,EURGBP.std
100100021,EURNOK.std
100100022,EURJPY.std
100100023,EURNZD.std
100100024,EURSEK.std
100100025,EURTRY.std
100100026,GBPAUD.std
100100027,GBPCAD.std
100100028,GBPCHF.std
100100029,GBPJPY.std
100100030,GBPNZD.std
100100031,NOKSEK.std
100100032,NZDCAD.std
100100033,NZDCHF.std
100100034,NZDJPY.std
100100035,USDCNH.std
100100036,USDHKD.std
100100037,USDMXN.std
100100038,USDNOK.std
100100039,USDSEK.std
100100040,USDSGD.std
100100041,USDTRY.std
100100042,USDZAR.std
100100043,USOIL.std
100100044,UKOIL.std
100100045,AXCAUD.std
100100046,CHCUSD.std
100100047,DJCUSD.std
100100048,EXCEUR.std
100100049,FRCEUR.std
100100050,GECEUR.std
100100051,HKCHKD.std
100100052,JPCJPY.std
100100053,NACUSD.std
100100054,SPCUSD.std
100100055,UKCGBP.std
100100056,BTCUSD.std
100100057,ETHUSD.std
100100058,LTCUSD.std
100100059,DASHUSD.std
100100060,XRPUSD.std
100100061,ADSGn.std
100100062,BMWG.std
100100063,DAIGn.std
100100064,DBKGn.std
100100065,VOWG.std
100100066,AAPL.std
100100067,AXP.std
100100068,AMZN.std
100100069,BABA.std
100100070,BAC.std
100100071,BNTX.std
100100072,C.std
100100073,KO.std
100100074,MA.std
100100075,MCD.std
100100076,NFLX.std
100100077,BA.std
100100078,CSCO.std
100100079,CVX.std
100100080,DIS.std
100100081,EBAY.std
100100082,GE.std
100100083,GM.std
100100084,GOOG.std
100100085,GS.std
100100086,IBM.std
100100087,INTC.std
100100088,JNJ.std
100100089,JPM.std
100100090,NIKE.std
100100091,NVDA.std
100100092,MRNA.std
100100093,PFE.std
100100094,PG.std
100100095,TSLA.std
100100096,TWTR.std
100100097,UBER.std
100100098,WMT.std
100100099,XOM.std
100100100,NVAX.std
100100101,V.std
100100102,AMGN.std
100100103,UPS.std
100100104,LMT.std
100100105,AMT.std
100100106,MRK.std
100100107,MO.std
100100108,ABBV.std
100100109,VZ.std
100100110,T.std
100100111,MS.std
100100112,MMM.std
100100113,PEP.std
100100114,HPQ.std
100100115,GILD.std
100100116,CVS.std
100100117,COP.std
100100118,MET.std
100100119,WBA.std
100100120,AVGO.std
100100121,BMY.std
100100122,HD.std
100100123,PM.std
100100124,SBUX.std
100100125,CAT.std
100100126,SPG.std
100100127,AGNC.std
100100128,LLY.std
100100129,ADP.std
100100130,CME.std
100100131,MDLZ.std
100100132,CMCSA.std
100100133,EQIX.std
100100134,USDTHB.std
100100135,META.std
100100136,DOTUSD.std
100100137,SOLUSD.std
100100138,SOYBEAN.std
100100139,USCCA.std
100100140,USCFE.std
100100141,USSGR.std
100100142,XPTUSD.std
100100143,SILVERf.std
100100144,NAS100f.std
100100145,CLOIL.std
100100146,US2000.std
100100147,NATGAS.std
100100148,XNGUSD.std
100100149,COFFEE.std
